,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_interval,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_rental_delay,waiting_time,impacted
281,548897,278005,mobile,ended,-307.0,Early or on time,,,,0.0,0
282,548904,373316,mobile,ended,-40.0,Early or on time,,,,0.0,0
283,548912,411521,mobile,ended,225.0,2 to 5 hours,553683.0,60.0,,0.0,0
284,548973,227830,mobile,canceled,,Unknown,,,,0.0,0
285,549047,369608,mobile,ended,-37.0,Early or on time,,,,0.0,0
286,549135,394752,mobile,canceled,,Unknown,,,,0.0,0
287,549261,360829,mobile,ended,-12.0,Early or on time,,,,0.0,0
288,549266,411687,mobile,ended,-11.0,Early or on time,,,,0.0,0
289,549273,175887,connect,ended,-26.0,Early or on time,,,,0.0,0
290,549290,364907,connect,ended,-49.0,Early or on time,,,,0.0,0
291,549340,181607,mobile,ended,381.0,5 to 24 hours,,,,0.0,0
292,549345,369881,connect,ended,22.0,< 30 minutes,,,,0.0,0
293,549444,177058,mobile,ended,144.0,2 to 5 hours,,,,0.0,0
294,549446,391174,mobile,ended,69.0,1 to 2 hours,,,,0.0,0
295,549499,408814,mobile,ended,19.0,< 30 minutes,,,,0.0,0
296,549558,328016,mobile,ended,10.0,< 30 minutes,,,,0.0,0
297,549579,273263,mobile,ended,-5.0,Early or on time,,,,0.0,0
298,549674,390702,connect,ended,-127.0,Early or on time,,,,0.0,0
299,549692,358131,mobile,ended,-158.0,Early or on time,,,,0.0,0
300,549808,310219,connect,ended,54.0,< 1 hour,,,,0.0,0
301,549874,409690,mobile,ended,3.0,< 30 minutes,,,,0.0,0
302,549901,383481,mobile,ended,201.0,2 to 5 hours,,,,0.0,0
303,549923,407730,mobile,ended,167.0,2 to 5 hours,,,,0.0,0
304,549983,356540,mobile,ended,,Unknown,,,,0.0,0
305,550000,378182,mobile,ended,-136.0,Early or on time,,,,0.0,0
306,550134,294883,mobile,ended,-158.0,Early or on time,,,,0.0,0
307,550211,407838,mobile,ended,20.0,< 30 minutes,,,,0.0,0
308,550224,358567,connect,ended,-7.0,Early or on time,,,,0.0,0
309,550246,408578,mobile,ended,-15.0,Early or on time,,,,0.0,0
310,550248,382901,mobile,ended,-127.0,Early or on time,545782.0,60.0,,0.0,0
311,550459,295815,mobile,ended,82.0,1 to 2 hours,,,,0.0,0
312,550537,239798,connect,ended,37.0,< 1 hour,,,,0.0,0
313,550660,399967,mobile,ended,0.0,Early or on time,,,,0.0,0
314,550723,380886,mobile,ended,,Unknown,545855.0,120.0,,0.0,0
315,550808,346652,connect,ended,-41.0,Early or on time,,,,0.0,0
316,550929,310681,connect,ended,-25.0,Early or on time,,,,0.0,0
317,550964,229360,mobile,canceled,,Unknown,,,,0.0,0
318,551031,409711,mobile,ended,-1283.0,Early or on time,,,,0.0,0
319,551040,383343,mobile,ended,40.0,< 1 hour,,,,0.0,0
320,551069,359880,connect,ended,-22.0,Early or on time,549192.0,180.0,,0.0,0
321,551108,291723,mobile,ended,211.0,2 to 5 hours,,,,0.0,0
322,551128,382939,mobile,ended,97.0,1 to 2 hours,,,,0.0,0
323,551137,295783,connect,ended,16.0,< 30 minutes,,,,0.0,0
324,551179,304570,mobile,ended,536.0,5 to 24 hours,,,,0.0,0
325,551227,341710,mobile,ended,159.0,2 to 5 hours,,,,0.0,0
326,551311,409112,mobile,ended,,Unknown,,,,0.0,0
327,551317,283001,mobile,ended,-7.0,Early or on time,,,,0.0,0
328,551364,406062,connect,ended,34.0,< 1 hour,,,,0.0,0
329,551429,277888,mobile,ended,203.0,2 to 5 hours,,,,0.0,0
330,551591,304055,mobile,ended,,Unknown,,,,0.0,0
331,551679,381233,mobile,ended,275.0,2 to 5 hours,,,,0.0,0
332,551695,374293,mobile,canceled,,Unknown,,,,0.0,0
333,551795,382793,mobile,ended,-193.0,Early or on time,,,,0.0,0
334,551868,409330,mobile,ended,,Unknown,,,,0.0,0
335,551907,171249,mobile,ended,11.0,< 30 minutes,,,,0.0,0
336,552204,348625,mobile,ended,91.0,1 to 2 hours,,,,0.0,0
337,552209,412676,mobile,ended,23.0,< 30 minutes,,,,0.0,0
338,552233,245154,connect,ended,4.0,< 30 minutes,,,,0.0,0
339,552265,408202,mobile,ended,-28.0,Early or on time,,,,0.0,0
340,552312,384045,mobile,canceled,,Unknown,,,,0.0,0
341,552330,384657,connect,ended,23.0,< 30 minutes,554800.0,0.0,,0.0,0
342,552342,376619,mobile,ended,-965.0,Early or on time,547312.0,0.0,,0.0,0
343,552389,307335,mobile,ended,6.0,< 30 minutes,,,,0.0,0
344,552425,385625,connect,ended,-102.0,Early or on time,550476.0,30.0,,0.0,0
345,552448,364662,mobile,ended,-232.0,Early or on time,,,,0.0,0
346,552524,173061,connect,ended,-22.0,Early or on time,,,,0.0,0
347,552655,406081,mobile,ended,322.0,5 to 24 hours,,,,0.0,0
348,552677,323777,mobile,ended,31.0,< 1 hour,,,,0.0,0
349,552700,348673,mobile,ended,63.0,1 to 2 hours,,,,0.0,0
350,552716,294883,mobile,ended,10.0,< 30 minutes,,,,0.0,0
351,552850,315136,connect,ended,40.0,< 1 hour,,,,0.0,0
352,552964,384385,mobile,ended,20.0,< 30 minutes,,,,0.0,0
353,553033,381331,mobile,ended,,Unknown,,,,0.0,0
354,553153,276924,mobile,ended,5.0,< 30 minutes,,,,0.0,0
355,553240,362608,mobile,ended,,Unknown,,,,0.0,0
356,553354,401166,mobile,ended,7.0,< 30 minutes,,,,0.0,0
357,553356,381684,mobile,ended,-1.0,Early or on time,,,,0.0,0
358,553367,385783,mobile,ended,24.0,< 30 minutes,519328.0,150.0,,0.0,0
359,553511,363658,mobile,ended,170.0,2 to 5 hours,,,,0.0,0
360,553532,355444,connect,ended,-20.0,Early or on time,,,,0.0,0
361,553660,412936,mobile,ended,-3.0,Early or on time,,,,0.0,0
362,553726,347847,mobile,ended,-36.0,Early or on time,,,,0.0,0
363,553730,390976,connect,ended,-29.0,Early or on time,,,,0.0,0
364,553755,393972,mobile,ended,1.0,< 30 minutes,,,,0.0,0
365,553795,402528,connect,ended,11.0,< 30 minutes,,,,0.0,0
366,553959,398733,mobile,canceled,,Unknown,,,,0.0,0
367,553984,410694,mobile,ended,-148.0,Early or on time,,,,0.0,0
368,554021,411852,mobile,ended,,Unknown,,,,0.0,0
369,554025,293785,mobile,ended,37.0,< 1 hour,,,,0.0,0
370,554508,241021,connect,ended,-37.0,Early or on time,,,,0.0,0
371,554572,380002,mobile,ended,358.0,5 to 24 hours,,,,0.0,0
372,554581,406629,mobile,ended,-5.0,Early or on time,,,,0.0,0
373,554672,352631,mobile,canceled,,Unknown,,,,0.0,0
374,554695,402993,mobile,ended,17.0,< 30 minutes,560722.0,720.0,,0.0,0
375,555081,311353,mobile,ended,-72.0,Early or on time,,,,0.0,0
376,555083,328013,mobile,ended,161.0,2 to 5 hours,,,,0.0,0
377,555131,324889,mobile,ended,146.0,2 to 5 hours,,,,0.0,0
378,555458,351168,mobile,ended,-919.0,Early or on time,,,,0.0,0
379,555600,391519,connect,ended,-95.0,Early or on time,,,,0.0,0
380,555659,260298,mobile,ended,,Unknown,,,,0.0,0
381,555703,391926,connect,canceled,,Unknown,,,,0.0,0
382,555794,327585,mobile,ended,19.0,< 30 minutes,,,,0.0,0
383,555813,360548,mobile,ended,-26.0,Early or on time,,,,0.0,0
384,555953,407253,mobile,canceled,,Unknown,,,,0.0,0
385,555992,375774,mobile,ended,58.0,< 1 hour,,,,0.0,0
386,556072,320670,mobile,ended,21.0,< 30 minutes,,,,0.0,0
387,556079,374298,connect,ended,-1019.0,Early or on time,,,,0.0,0
388,556110,211860,connect,canceled,,Unknown,,,,0.0,0
389,556143,407632,mobile,ended,181.0,2 to 5 hours,,,,0.0,0
390,556241,396767,mobile,canceled,,Unknown,,,,0.0,0
391,556267,274554,mobile,canceled,,Unknown,,,,0.0,0
392,556483,413896,mobile,ended,14.0,< 30 minutes,,,,0.0,0
393,556488,296213,mobile,ended,8.0,< 30 minutes,,,,0.0,0
394,556580,397878,mobile,ended,77.0,1 to 2 hours,,,,0.0,0
395,556608,368275,mobile,ended,-12.0,Early or on time,,,,0.0,0
396,556648,332548,mobile,ended,-581.0,Early or on time,,,,0.0,0
397,556696,234356,mobile,ended,59.0,< 1 hour,,,,0.0,0
398,556755,395962,mobile,ended,98.0,1 to 2 hours,,,,0.0,0
399,556986,402773,mobile,ended,23.0,< 30 minutes,,,,0.0,0
400,556999,406205,mobile,ended,14.0,< 30 minutes,,,,0.0,0
401,557296,387427,mobile,ended,7.0,< 30 minutes,,,,0.0,0
402,557314,383126,mobile,ended,-16.0,Early or on time,,,,0.0,0
403,557429,321400,connect,canceled,,Unknown,,,,0.0,0
404,557504,327732,mobile,ended,55.0,< 1 hour,,,,0.0,0
405,557512,412816,mobile,ended,101.0,1 to 2 hours,,,,0.0,0
406,557514,405433,mobile,ended,47.0,< 1 hour,,,,0.0,0
407,557535,401623,mobile,ended,21.0,< 30 minutes,,,,0.0,0
408,557572,383139,mobile,ended,-85.0,Early or on time,,,,0.0,0
409,557674,375915,mobile,ended,15.0,< 30 minutes,550183.0,480.0,,0.0,0
410,557681,410151,mobile,ended,122.0,2 to 5 hours,,,,0.0,0
411,557685,272724,mobile,ended,996.0,5 to 24 hours,,,,0.0,0
412,557716,249157,mobile,ended,,Unknown,,,,0.0,0
413,557833,351547,mobile,ended,67.0,1 to 2 hours,,,,0.0,0
414,557913,351021,mobile,ended,-4.0,Early or on time,,,,0.0,0
415,558047,396746,mobile,ended,-25.0,Early or on time,,,,0.0,0
416,558088,245154,connect,ended,-40.0,Early or on time,566170.0,180.0,,0.0,0
417,558250,375126,connect,ended,-4.0,Early or on time,549813.0,600.0,,0.0,0
418,558342,400165,mobile,canceled,,Unknown,,,,0.0,0
419,558424,318867,mobile,ended,173.0,2 to 5 hours,,,,0.0,0
420,558479,405858,mobile,canceled,,Unknown,,,,0.0,0
421,558525,297962,connect,ended,-256.0,Early or on time,555341.0,30.0,,0.0,0
422,558557,410258,mobile,ended,20.0,< 30 minutes,,,,0.0,0
423,558561,326755,mobile,ended,72.0,1 to 2 hours,,,,0.0,0
424,558583,326578,mobile,ended,3.0,< 30 minutes,,,,0.0,0
425,558709,316772,mobile,ended,102.0,1 to 2 hours,,,,0.0,0
426,558759,368753,connect,ended,-126.0,Early or on time,,,,0.0,0
427,558974,321069,mobile,ended,-5.0,Early or on time,,,,0.0,0
428,559078,340616,connect,ended,27.0,< 30 minutes,,,,0.0,0
429,559084,286751,connect,canceled,,Unknown,,,,0.0,0
430,559107,402084,mobile,ended,,Unknown,,,,0.0,0
431,559125,297740,mobile,canceled,,Unknown,,,,0.0,0
432,559318,344677,mobile,ended,2.0,< 30 minutes,,,,0.0,0
433,559331,369354,mobile,ended,89.0,1 to 2 hours,,,,0.0,0
434,559428,289720,connect,ended,-16.0,Early or on time,520878.0,90.0,,0.0,0
435,559435,281955,mobile,ended,18.0,< 30 minutes,553797.0,60.0,,0.0,0
436,559750,220877,connect,canceled,,Unknown,,,,0.0,0
437,559781,408776,mobile,ended,44.0,< 1 hour,540868.0,0.0,26.0,-26.0,1
438,559817,394117,mobile,ended,21.0,< 30 minutes,,,,0.0,0
439,559924,376064,mobile,ended,-3.0,Early or on time,,,,0.0,0
440,560005,301068,mobile,ended,-78.0,Early or on time,,,,0.0,0
441,560079,288452,mobile,ended,52.0,< 1 hour,,,,0.0,0
442,560311,399361,mobile,canceled,,Unknown,,,,0.0,0
443,560363,376124,mobile,ended,,Unknown,,,,0.0,0
444,560720,404020,mobile,ended,-14.0,Early or on time,,,,0.0,0
445,560884,410068,mobile,ended,-41.0,Early or on time,,,,0.0,0
446,560886,375755,mobile,ended,84.0,1 to 2 hours,,,,0.0,0
447,560889,412672,connect,ended,,Unknown,,,,0.0,0
